,env,agent,sf_steps,steps,seed,level
0,Switching Embodiments (7),Proximity heuristic,,28,0,0
1,Switching Embodiments (7),Proximity heuristic,,37,0,1
2,Switching Embodiments (7),Proximity heuristic,,16,0,2
3,Switching Embodiments (7),Proximity heuristic,,12,0,3
4,Switching Embodiments (7),Proximity heuristic,,12,0,4
5,Switching Embodiments (7),Proximity heuristic,,62,0,5
6,Switching Embodiments (7),Proximity heuristic,,32,0,6
7,Switching Embodiments (7),Proximity heuristic,,46,0,7
8,Switching Embodiments (7),Proximity heuristic,,41,0,8
9,Switching Embodiments (7),Proximity heuristic,,12,0,9
10,Switching Embodiments (7),Proximity heuristic,,24,0,10
11,Switching Embodiments (7),Proximity heuristic,,22,0,11
12,Switching Embodiments (7),Proximity heuristic,,39,0,12
13,Switching Embodiments (7),Proximity heuristic,,30,0,13
14,Switching Embodiments (7),Proximity heuristic,,53,0,14
15,Switching Embodiments (7),Proximity heuristic,,36,0,15
16,Switching Embodiments (7),Proximity heuristic,,62,0,16
17,Switching Embodiments (7),Proximity heuristic,,15,0,17
18,Switching Embodiments (7),Proximity heuristic,,79,0,18
19,Switching Embodiments (7),Proximity heuristic,,29,0,19
20,Switching Embodiments (7),Proximity heuristic,,20,0,20
21,Switching Embodiments (7),Proximity heuristic,,22,0,21
22,Switching Embodiments (7),Proximity heuristic,,62,0,22
23,Switching Embodiments (7),Proximity heuristic,,57,0,23
24,Switching Embodiments (7),Proximity heuristic,,108,0,24
25,Switching Embodiments (7),Proximity heuristic,,10,0,25
26,Switching Embodiments (7),Proximity heuristic,,28,0,26
27,Switching Embodiments (7),Proximity heuristic,,10,0,27
28,Switching Embodiments (7),Proximity heuristic,,30,0,28
29,Switching Embodiments (7),Proximity heuristic,,94,0,29
30,Switching Embodiments (7),Proximity heuristic,,135,0,30
31,Switching Embodiments (7),Proximity heuristic,,20,0,31
32,Switching Embodiments (7),Proximity heuristic,,12,0,32
33,Switching Embodiments (7),Proximity heuristic,,24,0,33
34,Switching Embodiments (7),Proximity heuristic,,12,0,34
35,Switching Embodiments (7),Proximity heuristic,,16,0,35
36,Switching Embodiments (7),Proximity heuristic,,10,0,36
37,Switching Embodiments (7),Proximity heuristic,,38,0,37
38,Switching Embodiments (7),Proximity heuristic,,8,0,38
39,Switching Embodiments (7),Proximity heuristic,,15,0,39
40,Switching Embodiments (7),Proximity heuristic,,53,1,0
41,Switching Embodiments (7),Proximity heuristic,,46,1,1
42,Switching Embodiments (7),Proximity heuristic,,72,1,2
43,Switching Embodiments (7),Proximity heuristic,,40,1,3
44,Switching Embodiments (7),Proximity heuristic,,38,1,4
45,Switching Embodiments (7),Proximity heuristic,,20,1,5
46,Switching Embodiments (7),Proximity heuristic,,15,1,6
47,Switching Embodiments (7),Proximity heuristic,,14,1,7
48,Switching Embodiments (7),Proximity heuristic,,24,1,8
49,Switching Embodiments (7),Proximity heuristic,,16,1,9
50,Switching Embodiments (7),Proximity heuristic,,18,1,10
51,Switching Embodiments (7),Proximity heuristic,,12,1,11
52,Switching Embodiments (7),Proximity heuristic,,26,1,12
53,Switching Embodiments (7),Proximity heuristic,,80,1,13
54,Switching Embodiments (7),Proximity heuristic,,12,1,14
55,Switching Embodiments (7),Proximity heuristic,,8,1,15
56,Switching Embodiments (7),Proximity heuristic,,8,1,16
57,Switching Embodiments (7),Proximity heuristic,,12,1,17
58,Switching Embodiments (7),Proximity heuristic,,24,1,18
59,Switching Embodiments (7),Proximity heuristic,,26,1,19
60,Switching Embodiments (7),Proximity heuristic,,54,1,20
61,Switching Embodiments (7),Proximity heuristic,,39,1,21
62,Switching Embodiments (7),Proximity heuristic,,12,1,22
63,Switching Embodiments (7),Proximity heuristic,,24,1,23
64,Switching Embodiments (7),Proximity heuristic,,32,1,24
65,Switching Embodiments (7),Proximity heuristic,,44,1,25
66,Switching Embodiments (7),Proximity heuristic,,21,1,26
67,Switching Embodiments (7),Proximity heuristic,,71,1,27
68,Switching Embodiments (7),Proximity heuristic,,100,1,28
69,Switching Embodiments (7),Proximity heuristic,,30,1,29
70,Switching Embodiments (7),Proximity heuristic,,51,1,30
71,Switching Embodiments (7),Proximity heuristic,,10,1,31
72,Switching Embodiments (7),Proximity heuristic,,36,1,32
73,Switching Embodiments (7),Proximity heuristic,,12,1,33
74,Switching Embodiments (7),Proximity heuristic,,12,1,34
75,Switching Embodiments (7),Proximity heuristic,,26,1,35
76,Switching Embodiments (7),Proximity heuristic,,14,1,36
77,Switching Embodiments (7),Proximity heuristic,,30,1,37
78,Switching Embodiments (7),Proximity heuristic,,24,1,38
79,Switching Embodiments (7),Proximity heuristic,,40,1,39
80,Switching Embodiments (7),Proximity heuristic,,53,2,0
81,Switching Embodiments (7),Proximity heuristic,,16,2,1
82,Switching Embodiments (7),Proximity heuristic,,50,2,2
83,Switching Embodiments (7),Proximity heuristic,,43,2,3
