,env,agent,sf_steps,steps,seed,level
0,Switching Mappings,Meta-ePOMDP,2.0,12,0,0
1,Switching Mappings,Meta-ePOMDP,3.0,10,0,1
2,Switching Mappings,Meta-ePOMDP,3.0,18,0,2
3,Switching Mappings,Meta-ePOMDP,3.0,16,0,3
4,Switching Mappings,Meta-ePOMDP,2.0,14,0,4
5,Switching Mappings,Meta-ePOMDP,1.0,14,0,5
6,Switching Mappings,Meta-ePOMDP,3.0,18,0,6
7,Switching Mappings,Meta-ePOMDP,4.0,20,0,7
8,Switching Mappings,Meta-ePOMDP,5.0,20,0,8
9,Switching Mappings,Meta-ePOMDP,4.0,18,0,9
10,Switching Mappings,Meta-ePOMDP,4.0,20,0,10
11,Switching Mappings,Meta-ePOMDP,3.0,16,0,11
12,Switching Mappings,Meta-ePOMDP,3.0,18,0,12
13,Switching Mappings,Meta-ePOMDP,4.0,12,0,13
14,Switching Mappings,Meta-ePOMDP,2.0,8,0,14
15,Switching Mappings,Meta-ePOMDP,2.0,10,0,15
16,Switching Mappings,Meta-ePOMDP,3.0,16,0,16
17,Switching Mappings,Meta-ePOMDP,2.0,14,0,17
18,Switching Mappings,Meta-ePOMDP,4.0,16,0,18
19,Switching Mappings,Meta-ePOMDP,3.0,10,0,19
20,Switching Mappings,Meta-ePOMDP,2.0,12,0,20
21,Switching Mappings,Meta-ePOMDP,4.0,10,0,21
22,Switching Mappings,Meta-ePOMDP,1.0,12,0,22
23,Switching Mappings,Meta-ePOMDP,4.0,12,0,23
24,Switching Mappings,Meta-ePOMDP,3.0,18,0,24
25,Switching Mappings,Meta-ePOMDP,2.0,12,0,25
26,Switching Mappings,Meta-ePOMDP,1.0,12,0,26
27,Switching Mappings,Meta-ePOMDP,4.0,10,0,27
28,Switching Mappings,Meta-ePOMDP,3.0,12,0,28
29,Switching Mappings,Meta-ePOMDP,2.0,16,0,29
30,Switching Mappings,Meta-ePOMDP,1.0,10,0,30
31,Switching Mappings,Meta-ePOMDP,3.0,12,0,31
32,Switching Mappings,Meta-ePOMDP,2.0,8,0,32
33,Switching Mappings,Meta-ePOMDP,2.0,10,0,33
34,Switching Mappings,Meta-ePOMDP,2.0,16,0,34
35,Switching Mappings,Meta-ePOMDP,2.0,10,0,35
36,Switching Mappings,Meta-ePOMDP,2.0,16,0,36
37,Switching Mappings,Meta-ePOMDP,2.0,16,0,37
38,Switching Mappings,Meta-ePOMDP,3.0,16,0,38
39,Switching Mappings,Meta-ePOMDP,2.0,10,0,39
40,Switching Mappings,Meta-ePOMDP,1.0,14,1,0
41,Switching Mappings,Meta-ePOMDP,1.0,8,1,1
42,Switching Mappings,Meta-ePOMDP,3.0,14,1,2
43,Switching Mappings,Meta-ePOMDP,2.0,10,1,3
44,Switching Mappings,Meta-ePOMDP,2.0,8,1,4
45,Switching Mappings,Meta-ePOMDP,1.0,14,1,5
46,Switching Mappings,Meta-ePOMDP,4.0,12,1,6
47,Switching Mappings,Meta-ePOMDP,1.0,12,1,7
48,Switching Mappings,Meta-ePOMDP,3.0,10,1,8
49,Switching Mappings,Meta-ePOMDP,4.0,20,1,9
50,Switching Mappings,Meta-ePOMDP,4.0,18,1,10
51,Switching Mappings,Meta-ePOMDP,1.0,8,1,11
52,Switching Mappings,Meta-ePOMDP,4.0,12,1,12
53,Switching Mappings,Meta-ePOMDP,3.0,10,1,13
54,Switching Mappings,Meta-ePOMDP,1.0,8,1,14
55,Switching Mappings,Meta-ePOMDP,2.0,16,1,15
56,Switching Mappings,Meta-ePOMDP,3.0,18,1,16
57,Switching Mappings,Meta-ePOMDP,2.0,10,1,17
58,Switching Mappings,Meta-ePOMDP,4.0,18,1,18
59,Switching Mappings,Meta-ePOMDP,2.0,10,1,19
60,Switching Mappings,Meta-ePOMDP,4.0,12,1,20
61,Switching Mappings,Meta-ePOMDP,4.0,12,1,21
62,Switching Mappings,Meta-ePOMDP,4.0,20,1,22
63,Switching Mappings,Meta-ePOMDP,2.0,14,1,23
64,Switching Mappings,Meta-ePOMDP,2.0,16,1,24
65,Switching Mappings,Meta-ePOMDP,2.0,14,1,25
66,Switching Mappings,Meta-ePOMDP,2.0,10,1,26
67,Switching Mappings,Meta-ePOMDP,3.0,12,1,27
68,Switching Mappings,Meta-ePOMDP,4.0,8,1,28
69,Switching Mappings,Meta-ePOMDP,3.0,12,1,29
70,Switching Mappings,Meta-ePOMDP,1.0,12,1,30
71,Switching Mappings,Meta-ePOMDP,4.0,12,1,31
72,Switching Mappings,Meta-ePOMDP,2.0,10,1,32
73,Switching Mappings,Meta-ePOMDP,2.0,14,1,33
